Saved configuration to: runs/scoutv2_brain_neuromod_gain05_seed3_20260705-165102/config.txt
Training Brain on cuda for 4 RL episodes
  Inner: 800000 timesteps, regime switch every 100000 steps
  Parallel Envs: 4
  Brain vectorization: async
  Async worker CPU threads: 1
  Decision interval: 10 inner updates

--- Starting Meta-RL PPO Training (Target: 4) ---
update 10/781 | step=10240 | SPS=579
update 770/781 | step=788480 | SPS=541
update 770/781 | step=788480 | SPS=541
update 770/781 | step=788480 | SPS=541
update 770/781 | step=788480 | SPS=541
update 780/781 | step=798720 | SPS=541
update 780/781 | step=798720 | SPS=541
update 780/781 | step=798720 | SPS=541
update 780/781 | step=798720 | SPS=541
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
Episode 2/4 | reward=-21.4658 | avg10=-24.1083 | avg_success_rate=0.8800 | steps=78 | time=1482.9s
update 10/781 | step=10240 | SPS=600
update 10/781 | step=10240 | SPS=593
update 10/781 | step=10240 | SPS=584
update 10/781 | step=10240 | SPS=583
update 20/781 | step=20480 | SPS=573
update 20/781 | step=20480 | SPS=568
update 20/781 | step=20480 | SPS=566
update 20/781 | step=20480 | SPS=561
update 30/781 | step=30720 | SPS=561
update 30/781 | step=30720 | SPS=560
update 30/781 | step=30720 | SPS=556
update 30/781 | step=30720 | SPS=556
update 40/781 | step=40960 | SPS=558
update 40/781 | step=40960 | SPS=555
update 40/781 | step=40960 | SPS=554
update 40/781 | step=40960 | SPS=553
update 50/781 | step=51200 | SPS=553
update 50/781 | step=51200 | SPS=551
update 50/781 | step=51200 | SPS=549
update 50/781 | step=51200 | SPS=549
update 60/781 | step=61440 | SPS=550
update 60/781 | step=61440 | SPS=549
update 60/781 | step=61440 | SPS=547
update 60/781 | step=61440 | SPS=547
update 70/781 | step=71680 | SPS=547
update 70/781 | step=71680 | SPS=547
update 70/781 | step=71680 | SPS=546
update 70/781 | step=71680 | SPS=545
update 80/781 | step=81920 | SPS=546
update 80/781 | step=81920 | SPS=546
update 80/781 | step=81920 | SPS=546
update 80/781 | step=81920 | SPS=544
update 90/781 | step=92160 | SPS=545
update 90/781 | step=92160 | SPS=544
update 90/781 | step=92160 | SPS=544
update 90/781 | step=92160 | SPS=543
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=544
update 100/781 | step=102400 | SPS=543
update 100/781 | step=102400 | SPS=542
update 100/781 | step=102400 | SPS=542
update 110/781 | step=112640 | SPS=544
update 110/781 | step=112640 | SPS=543
update 110/781 | step=112640 | SPS=542
update 110/781 | step=112640 | SPS=542
update 120/781 | step=122880 | SPS=543
update 120/781 | step=122880 | SPS=542
update 120/781 | step=122880 | SPS=542
update 120/781 | step=122880 | SPS=542
update 130/781 | step=133120 | SPS=542
update 130/781 | step=133120 | SPS=542
update 130/781 | step=133120 | SPS=541
update 130/781 | step=133120 | SPS=541
update 140/781 | step=143360 | SPS=543
update 140/781 | step=143360 | SPS=542
update 140/781 | step=143360 | SPS=542
update 140/781 | step=143360 | SPS=541
update 150/781 | step=153600 | SPS=543
update 150/781 | step=153600 | SPS=542
update 150/781 | step=153600 | SPS=542
update 150/781 | step=153600 | SPS=541
update 160/781 | step=163840 | SPS=543
update 160/781 | step=163840 | SPS=542
update 160/781 | step=163840 | SPS=542
update 160/781 | step=163840 | SPS=542
update 170/781 | step=174080 | SPS=542
update 170/781 | step=174080 | SPS=542
update 170/781 | step=174080 | SPS=542
update 170/781 | step=174080 | SPS=542
update 180/781 | step=184320 | SPS=543
update 180/781 | step=184320 | SPS=542
update 180/781 | step=184320 | SPS=542
update 180/781 | step=184320 | SPS=542
update 190/781 | step=194560 | SPS=542
update 190/781 | step=194560 | SPS=542
update 190/781 | step=194560 | SPS=542
update 190/781 | step=194560 | SPS=542
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 200/781 | step=204800 | SPS=542
update 200/781 | step=204800 | SPS=542
update 200/781 | step=204800 | SPS=542
update 200/781 | step=204800 | SPS=542
update 210/781 | step=215040 | SPS=542
update 210/781 | step=215040 | SPS=542
update 210/781 | step=215040 | SPS=542
update 210/781 | step=215040 | SPS=541
update 220/781 | step=225280 | SPS=542
update 220/781 | step=225280 | SPS=542
update 220/781 | step=225280 | SPS=541
update 220/781 | step=225280 | SPS=541
update 230/781 | step=235520 | SPS=542
update 230/781 | step=235520 | SPS=542
update 230/781 | step=235520 | SPS=541
update 230/781 | step=235520 | SPS=541
update 240/781 | step=245760 | SPS=542
update 240/781 | step=245760 | SPS=542
update 240/781 | step=245760 | SPS=542
update 240/781 | step=245760 | SPS=541
update 250/781 | step=256000 | SPS=542
update 250/781 | step=256000 | SPS=542
update 250/781 | step=256000 | SPS=542
update 250/781 | step=256000 | SPS=541
update 260/781 | step=266240 | SPS=542
update 260/781 | step=266240 | SPS=542
update 260/781 | step=266240 | SPS=542
update 260/781 | step=266240 | SPS=542
update 270/781 | step=276480 | SPS=542
update 270/781 | step=276480 | SPS=542
update 270/781 | step=276480 | SPS=542
update 270/781 | step=276480 | SPS=542
update 280/781 | step=286720 | SPS=542
update 280/781 | step=286720 | SPS=542
update 280/781 | step=286720 | SPS=542
update 280/781 | step=286720 | SPS=542
update 290/781 | step=296960 | SPS=542
update 290/781 | step=296960 | SPS=542
update 290/781 | step=296960 | SPS=542
update 290/781 | step=296960 | SPS=542
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 300/781 | step=307200 | SPS=542
update 300/781 | step=307200 | SPS=542
update 300/781 | step=307200 | SPS=542
update 300/781 | step=307200 | SPS=541
update 310/781 | step=317440 | SPS=542
update 310/781 | step=317440 | SPS=542
update 310/781 | step=317440 | SPS=541
update 310/781 | step=317440 | SPS=541
update 320/781 | step=327680 | SPS=542
update 320/781 | step=327680 | SPS=542
update 320/781 | step=327680 | SPS=542
update 320/781 | step=327680 | SPS=541
update 330/781 | step=337920 | SPS=542
update 330/781 | step=337920 | SPS=542
update 330/781 | step=337920 | SPS=542
update 330/781 | step=337920 | SPS=541
update 340/781 | step=348160 | SPS=542
update 340/781 | step=348160 | SPS=542
update 340/781 | step=348160 | SPS=541
update 340/781 | step=348160 | SPS=541
update 350/781 | step=358400 | SPS=542
update 350/781 | step=358400 | SPS=541
update 350/781 | step=358400 | SPS=541
update 350/781 | step=358400 | SPS=541
update 360/781 | step=368640 | SPS=542
update 360/781 | step=368640 | SPS=541
update 360/781 | step=368640 | SPS=541
update 360/781 | step=368640 | SPS=541
update 370/781 | step=378880 | SPS=542
update 370/781 | step=378880 | SPS=542
update 370/781 | step=378880 | SPS=542
update 370/781 | step=378880 | SPS=541
update 380/781 | step=389120 | SPS=542
update 380/781 | step=389120 | SPS=542
update 380/781 | step=389120 | SPS=541
update 380/781 | step=389120 | SPS=541
update 390/781 | step=399360 | SPS=542
update 390/781 | step=399360 | SPS=542
update 390/781 | step=399360 | SPS=541
update 390/781 | step=399360 | SPS=541
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 400/781 | step=409600 | SPS=542
update 400/781 | step=409600 | SPS=542
update 400/781 | step=409600 | SPS=542
update 400/781 | step=409600 | SPS=541
update 410/781 | step=419840 | SPS=542
update 410/781 | step=419840 | SPS=542
update 410/781 | step=419840 | SPS=542
update 410/781 | step=419840 | SPS=542
update 420/781 | step=430080 | SPS=542
update 420/781 | step=430080 | SPS=542
update 420/781 | step=430080 | SPS=542
update 420/781 | step=430080 | SPS=542
update 430/781 | step=440320 | SPS=542
update 430/781 | step=440320 | SPS=542
update 430/781 | step=440320 | SPS=542
update 430/781 | step=440320 | SPS=542
update 440/781 | step=450560 | SPS=542
update 440/781 | step=450560 | SPS=542
update 440/781 | step=450560 | SPS=542
update 440/781 | step=450560 | SPS=542
update 450/781 | step=460800 | SPS=542
update 450/781 | step=460800 | SPS=542
update 450/781 | step=460800 | SPS=542
update 450/781 | step=460800 | SPS=542
update 460/781 | step=471040 | SPS=542
update 460/781 | step=471040 | SPS=542
update 460/781 | step=471040 | SPS=541
update 460/781 | step=471040 | SPS=541
update 470/781 | step=481280 | SPS=542
update 470/781 | step=481280 | SPS=542
update 470/781 | step=481280 | SPS=542
update 470/781 | step=481280 | SPS=542
update 480/781 | step=491520 | SPS=542
update 480/781 | step=491520 | SPS=542
update 480/781 | step=491520 | SPS=542
update 480/781 | step=491520 | SPS=542
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 490/781 | step=501760 | SPS=542
update 490/781 | step=501760 | SPS=542
update 490/781 | step=501760 | SPS=542
update 490/781 | step=501760 | SPS=541
update 500/781 | step=512000 | SPS=542
update 500/781 | step=512000 | SPS=542
update 500/781 | step=512000 | SPS=542
update 500/781 | step=512000 | SPS=542
update 510/781 | step=522240 | SPS=542
update 510/781 | step=522240 | SPS=542
update 510/781 | step=522240 | SPS=542
update 510/781 | step=522240 | SPS=542
update 520/781 | step=532480 | SPS=542
update 520/781 | step=532480 | SPS=542
update 520/781 | step=532480 | SPS=542
update 520/781 | step=532480 | SPS=542
update 530/781 | step=542720 | SPS=542
update 530/781 | step=542720 | SPS=542
update 530/781 | step=542720 | SPS=542
update 530/781 | step=542720 | SPS=542
update 540/781 | step=552960 | SPS=542
update 540/781 | step=552960 | SPS=542
update 540/781 | step=552960 | SPS=542
update 540/781 | step=552960 | SPS=542
update 550/781 | step=563200 | SPS=542
update 550/781 | step=563200 | SPS=542
update 550/781 | step=563200 | SPS=542
update 550/781 | step=563200 | SPS=542
update 560/781 | step=573440 | SPS=542
update 560/781 | step=573440 | SPS=542
update 560/781 | step=573440 | SPS=542
update 560/781 | step=573440 | SPS=542
update 570/781 | step=583680 | SPS=542
update 570/781 | step=583680 | SPS=542
update 570/781 | step=583680 | SPS=542
update 570/781 | step=583680 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 600/781 | step=614400 | SPS=542
update 600/781 | step=614400 | SPS=542
update 600/781 | step=614400 | SPS=542
update 600/781 | step=614400 | SPS=542
update 610/781 | step=624640 | SPS=542
update 610/781 | step=624640 | SPS=542
update 610/781 | step=624640 | SPS=542
update 610/781 | step=624640 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 750/781 | step=768000 | SPS=542
update 750/781 | step=768000 | SPS=542
update 750/781 | step=768000 | SPS=542
update 750/781 | step=768000 | SPS=542
update 760/781 | step=778240 | SPS=542
update 760/781 | step=778240 | SPS=542
update 760/781 | step=778240 | SPS=542
update 760/781 | step=778240 | SPS=541
update 770/781 | step=788480 | SPS=542
update 770/781 | step=788480 | SPS=542
update 770/781 | step=788480 | SPS=542
update 770/781 | step=788480 | SPS=542
update 780/781 | step=798720 | SPS=542
update 780/781 | step=798720 | SPS=542
update 780/781 | step=798720 | SPS=542
update 780/781 | step=798720 | SPS=542
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
update 781/781 | step=799744 | SPS=541
Episode 3/4 | reward=-20.1396 | avg10=-22.7854 | avg_success_rate=0.8225 | steps=78 | time=1481.2s
update 10/781 | step=10240 | SPS=598
update 10/781 | step=10240 | SPS=598
update 10/781 | step=10240 | SPS=592
update 10/781 | step=10240 | SPS=588
update 20/781 | step=20480 | SPS=565
update 20/781 | step=20480 | SPS=562
update 20/781 | step=20480 | SPS=561
update 20/781 | step=20480 | SPS=559
update 30/781 | step=30720 | SPS=561
update 30/781 | step=30720 | SPS=555
update 30/781 | step=30720 | SPS=557
update 30/781 | step=30720 | SPS=554
update 40/781 | step=40960 | SPS=556
update 40/781 | step=40960 | SPS=556
update 40/781 | step=40960 | SPS=554
update 40/781 | step=40960 | SPS=551
update 50/781 | step=51200 | SPS=553
update 50/781 | step=51200 | SPS=553
update 50/781 | step=51200 | SPS=552
update 50/781 | step=51200 | SPS=552
update 60/781 | step=61440 | SPS=552
update 60/781 | step=61440 | SPS=551
update 60/781 | step=61440 | SPS=550
update 60/781 | step=61440 | SPS=550
update 70/781 | step=71680 | SPS=550
update 70/781 | step=71680 | SPS=549
update 70/781 | step=71680 | SPS=549
update 70/781 | step=71680 | SPS=547
update 80/781 | step=81920 | SPS=548
update 80/781 | step=81920 | SPS=547
update 80/781 | step=81920 | SPS=547
update 80/781 | step=81920 | SPS=546
update 90/781 | step=92160 | SPS=548
update 90/781 | step=92160 | SPS=548
update 90/781 | step=92160 | SPS=546
update 90/781 | step=92160 | SPS=547
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[100008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 100/781 | step=102400 | SPS=548
update 100/781 | step=102400 | SPS=546
update 100/781 | step=102400 | SPS=547
update 100/781 | step=102400 | SPS=546
update 110/781 | step=112640 | SPS=547
update 110/781 | step=112640 | SPS=546
update 110/781 | step=112640 | SPS=545
update 110/781 | step=112640 | SPS=546
update 120/781 | step=122880 | SPS=546
update 120/781 | step=122880 | SPS=545
update 120/781 | step=122880 | SPS=546
update 120/781 | step=122880 | SPS=545
update 130/781 | step=133120 | SPS=546
update 130/781 | step=133120 | SPS=545
update 130/781 | step=133120 | SPS=544
update 130/781 | step=133120 | SPS=545
update 140/781 | step=143360 | SPS=545
update 140/781 | step=143360 | SPS=545
update 140/781 | step=143360 | SPS=544
update 140/781 | step=143360 | SPS=544
update 150/781 | step=153600 | SPS=545
update 150/781 | step=153600 | SPS=545
update 150/781 | step=153600 | SPS=545
update 150/781 | step=153600 | SPS=544
update 160/781 | step=163840 | SPS=545
update 160/781 | step=163840 | SPS=545
update 160/781 | step=163840 | SPS=544
update 160/781 | step=163840 | SPS=544
update 170/781 | step=174080 | SPS=546
update 170/781 | step=174080 | SPS=545
update 170/781 | step=174080 | SPS=544
update 170/781 | step=174080 | SPS=544
update 180/781 | step=184320 | SPS=545
update 180/781 | step=184320 | SPS=544
update 180/781 | step=184320 | SPS=545
update 180/781 | step=184320 | SPS=544
update 190/781 | step=194560 | SPS=545
update 190/781 | step=194560 | SPS=545
update 190/781 | step=194560 | SPS=544
update 190/781 | step=194560 | SPS=544
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[200008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 200/781 | step=204800 | SPS=545
update 200/781 | step=204800 | SPS=545
update 200/781 | step=204800 | SPS=545
update 200/781 | step=204800 | SPS=544
update 210/781 | step=215040 | SPS=545
update 210/781 | step=215040 | SPS=545
update 210/781 | step=215040 | SPS=544
update 210/781 | step=215040 | SPS=544
update 220/781 | step=225280 | SPS=545
update 220/781 | step=225280 | SPS=544
update 220/781 | step=225280 | SPS=544
update 220/781 | step=225280 | SPS=544
update 230/781 | step=235520 | SPS=544
update 230/781 | step=235520 | SPS=544
update 230/781 | step=235520 | SPS=544
update 230/781 | step=235520 | SPS=543
update 240/781 | step=245760 | SPS=544
update 240/781 | step=245760 | SPS=544
update 240/781 | step=245760 | SPS=543
update 240/781 | step=245760 | SPS=543
update 250/781 | step=256000 | SPS=544
update 250/781 | step=256000 | SPS=544
update 250/781 | step=256000 | SPS=543
update 250/781 | step=256000 | SPS=543
update 260/781 | step=266240 | SPS=544
update 260/781 | step=266240 | SPS=544
update 260/781 | step=266240 | SPS=543
update 260/781 | step=266240 | SPS=543
update 270/781 | step=276480 | SPS=544
update 270/781 | step=276480 | SPS=544
update 270/781 | step=276480 | SPS=543
update 270/781 | step=276480 | SPS=543
update 280/781 | step=286720 | SPS=543
update 280/781 | step=286720 | SPS=543
update 280/781 | step=286720 | SPS=543
update 280/781 | step=286720 | SPS=543
update 290/781 | step=296960 | SPS=544
update 290/781 | step=296960 | SPS=543
update 290/781 | step=296960 | SPS=543
update 290/781 | step=296960 | SPS=543
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[300008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 300/781 | step=307200 | SPS=543
update 300/781 | step=307200 | SPS=543
update 300/781 | step=307200 | SPS=543
update 300/781 | step=307200 | SPS=543
update 310/781 | step=317440 | SPS=543
update 310/781 | step=317440 | SPS=543
update 310/781 | step=317440 | SPS=543
update 310/781 | step=317440 | SPS=543
update 320/781 | step=327680 | SPS=543
update 320/781 | step=327680 | SPS=543
update 320/781 | step=327680 | SPS=543
update 320/781 | step=327680 | SPS=543
update 330/781 | step=337920 | SPS=543
update 330/781 | step=337920 | SPS=543
update 330/781 | step=337920 | SPS=543
update 330/781 | step=337920 | SPS=543
update 340/781 | step=348160 | SPS=543
update 340/781 | step=348160 | SPS=543
update 340/781 | step=348160 | SPS=543
update 340/781 | step=348160 | SPS=543
update 350/781 | step=358400 | SPS=543
update 350/781 | step=358400 | SPS=543
update 350/781 | step=358400 | SPS=543
update 350/781 | step=358400 | SPS=543
update 360/781 | step=368640 | SPS=543
update 360/781 | step=368640 | SPS=543
update 360/781 | step=368640 | SPS=543
update 360/781 | step=368640 | SPS=543
update 370/781 | step=378880 | SPS=543
update 370/781 | step=378880 | SPS=543
update 370/781 | step=378880 | SPS=543
update 370/781 | step=378880 | SPS=543
update 380/781 | step=389120 | SPS=543
update 380/781 | step=389120 | SPS=543
update 380/781 | step=389120 | SPS=543
update 380/781 | step=389120 | SPS=543
update 390/781 | step=399360 | SPS=543
update 390/781 | step=399360 | SPS=543
update 390/781 | step=399360 | SPS=543
update 390/781 | step=399360 | SPS=543
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[400008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 400/781 | step=409600 | SPS=543
update 400/781 | step=409600 | SPS=543
update 400/781 | step=409600 | SPS=543
update 400/781 | step=409600 | SPS=543
update 410/781 | step=419840 | SPS=543
update 410/781 | step=419840 | SPS=543
update 410/781 | step=419840 | SPS=542
update 410/781 | step=419840 | SPS=542
update 420/781 | step=430080 | SPS=543
update 420/781 | step=430080 | SPS=543
update 420/781 | step=430080 | SPS=542
update 420/781 | step=430080 | SPS=542
update 430/781 | step=440320 | SPS=543
update 430/781 | step=440320 | SPS=543
update 430/781 | step=440320 | SPS=542
update 430/781 | step=440320 | SPS=542
update 440/781 | step=450560 | SPS=543
update 440/781 | step=450560 | SPS=543
update 440/781 | step=450560 | SPS=543
update 440/781 | step=450560 | SPS=542
update 450/781 | step=460800 | SPS=543
update 450/781 | step=460800 | SPS=543
update 450/781 | step=460800 | SPS=543
update 450/781 | step=460800 | SPS=542
update 460/781 | step=471040 | SPS=543
update 460/781 | step=471040 | SPS=543
update 460/781 | step=471040 | SPS=543
update 460/781 | step=471040 | SPS=543
update 470/781 | step=481280 | SPS=543
update 470/781 | step=481280 | SPS=543
update 470/781 | step=481280 | SPS=543
update 470/781 | step=481280 | SPS=543
update 480/781 | step=491520 | SPS=543
update 480/781 | step=491520 | SPS=543
update 480/781 | step=491520 | SPS=543
update 480/781 | step=491520 | SPS=542
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[500008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 490/781 | step=501760 | SPS=543
update 490/781 | step=501760 | SPS=543
update 490/781 | step=501760 | SPS=543
update 490/781 | step=501760 | SPS=542
update 500/781 | step=512000 | SPS=543
update 500/781 | step=512000 | SPS=543
update 500/781 | step=512000 | SPS=543
update 500/781 | step=512000 | SPS=543
update 510/781 | step=522240 | SPS=543
update 510/781 | step=522240 | SPS=543
update 510/781 | step=522240 | SPS=543
update 510/781 | step=522240 | SPS=543
update 520/781 | step=532480 | SPS=543
update 520/781 | step=532480 | SPS=543
update 520/781 | step=532480 | SPS=543
update 520/781 | step=532480 | SPS=542
update 530/781 | step=542720 | SPS=543
update 530/781 | step=542720 | SPS=543
update 530/781 | step=542720 | SPS=543
update 530/781 | step=542720 | SPS=543
update 540/781 | step=552960 | SPS=543
update 540/781 | step=552960 | SPS=543
update 540/781 | step=552960 | SPS=542
update 540/781 | step=552960 | SPS=542
update 550/781 | step=563200 | SPS=543
update 550/781 | step=563200 | SPS=543
update 550/781 | step=563200 | SPS=542
update 550/781 | step=563200 | SPS=542
update 560/781 | step=573440 | SPS=543
update 560/781 | step=573440 | SPS=543
update 560/781 | step=573440 | SPS=543
update 560/781 | step=573440 | SPS=542
update 570/781 | step=583680 | SPS=543
update 570/781 | step=583680 | SPS=542
update 570/781 | step=583680 | SPS=542
update 570/781 | step=583680 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
update 580/781 | step=593920 | SPS=542
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
[600008] Regime switch detected! 1 -> 0. Snapshotting anchor model.
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 590/781 | step=604160 | SPS=542
update 600/781 | step=614400 | SPS=543
update 600/781 | step=614400 | SPS=542
update 600/781 | step=614400 | SPS=542
update 600/781 | step=614400 | SPS=542
update 610/781 | step=624640 | SPS=543
update 610/781 | step=624640 | SPS=542
update 610/781 | step=624640 | SPS=542
update 610/781 | step=624640 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 620/781 | step=634880 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 630/781 | step=645120 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 640/781 | step=655360 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 650/781 | step=665600 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 660/781 | step=675840 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 670/781 | step=686080 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
update 680/781 | step=696320 | SPS=542
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
[700008] Regime switch detected! 0 -> 1. Snapshotting anchor model.
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 690/781 | step=706560 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 700/781 | step=716800 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 710/781 | step=727040 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 720/781 | step=737280 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 730/781 | step=747520 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 740/781 | step=757760 | SPS=542
update 750/781 | step=768000 | SPS=542
update 750/781 | step=768000 | SPS=542
